time,target,hit
1637229600,1855.14,1637310600.0
1637240400,1861.55,1637241600.0
1637243100,1872.03,1644864900.0
1637246400,1874.3399999999995,1644892500.0
1637247900,1850.68,1637343600.0
1637250600,1847.5300000000002,1637343600.0
1637257200,1866.94,1644850800.0
1637258400,1855.3499999999995,1637310300.0
1637265300,1854.05,1637310600.0
1637279100,1860.1200000000001,1637281200.0
1637280600,1853.01,1637312400.0
1637283600,1861.44,1637286000.0
1637302800,1864.2699999999993,1637316600.0
1637304000,1855.38,1637310300.0
1637316300,1868.5000000000002,1644851700.0
1637319000,1869.2999999999995,1644853800.0
1637320500,1868.6100000000001,1644851700.0
1637330100,1863.2899999999997,1637330700.0
1637331000,1854.0599999999997,1637331300.0
1637334000,1851.5799999999995,1637343600.0
1637336100,1869.68,1644852900.0
1637336700,1856.12,1637336700.0
1637358900,1841.2800000000004,1637563800.0
1637558100,1845.54,1637560500.0
1637559900,1842.56,1637563500.0
1637572500,1849.21,1643121900.0
1637574000,1841.8299999999997,1637577000.0
1637622300,1819.61,1640698200.0
1637638800,1806.4899999999998,1637647800.0
1637639700,1809.6899999999994,1637921100.0
1637641800,1801.4,1637657400.0
1637652300,1813.8799999999994,1637925900.0
1637653800,1798.4299999999996,1637659500.0
1637694600,1791.4199999999998,1637699400.0
1637717100,1781.9,1637760300.0
1637718000,1795.8800000000006,1637718900.0
1637735100,1786.1100000000004,1637752200.0
1637735700,1799.78,1637908500.0
1637737500,1798.8499999999997,1637907300.0
1637741100,1786.6900000000003,1637751900.0
1637742000,1790.2700000000002,1637743800.0
1637771100,1793.1099999999994,1637804700.0
1637777100,1790.6699999999996,1637798100.0
1637787000,1780.8800000000003,1638140700.0
1637788800,1791.98,1637799600.0
1637814600,1788.5800000000006,1637852400.0
1637815800,1794.2399999999993,1637824200.0
1637816400,1793.9599999999996,1637824200.0
1637819700,1789.6999999999998,1637845500.0
1637821200,1796.9,1637895900.0
1637823300,1787.5699999999995,1637862300.0
1637824200,1797.67,1637895900.0
1637833200,1800.4000000000003,1637908500.0
1637835300,1787.58,1637862300.0
1637849400,1793.1299999999999,1637884800.0
1637850000,1789.3,1637852400.0
1637850600,1792.2900000000002,1637883000.0
1637851800,1784.3000000000002,1637944800.0
1637860800,1784.8200000000004,1637944800.0
1637882400,1793.9500000000003,1637887200.0
1637931300,1816.2200000000003,1640687400.0
1637933700,1781.1800000000003,1638140700.0
1637934600,1810.2199999999998,1639744500.0
1637935800,1792.76,1637944500.0
1638147600,1801.9999999999998,1638283500.0
1638159900,1796.17,1638168600.0
1638161700,1789.38,1638192900.0
1638162900,1795.6300000000003,1638164700.0
1638165000,1791.9299999999998,1638169500.0
1638165900,1798.5900000000004,1638175800.0
1638170700,1783.1099999999997,1638203100.0
1638171600,1799.3999999999999,1638283500.0
1638173700,1799.3000000000006,1638283500.0
1638183600,1791.5600000000002,1638188400.0
1638184800,1797.0700000000004,1638264900.0
1638189600,1774.2500000000005,1638288000.0
1638221400,1784.5400000000004,1638221400.0
1638234600,1779.9199999999996,1638288000.0
1638235800,1788.25,1638236700.0
1638273000,1789.0299999999995,1638287400.0
1638274200,1787.83,1638287400.0
1638278400,1797.4600000000005,1638283500.0
1638279300,1783.3299999999997,1638288000.0
1638280200,1799.9799999999993,1638283500.0
1638281700,1789.78,1638287400.0
1638283200,1785.2000000000003,1638287700.0
1638283800,1822.4,1640956200.0
1638286500,1790.3399999999997,1638287400.0
1638307800,1777.0799999999995,1638319500.0
1638308400,1769.9999999999998,1638433500.0
1638309600,1768.3200000000004,1638455700.0
1638313500,1781.5999999999997,1638337500.0
1638315300,1770.6100000000006,1638433500.0
1638318900,1778.8599999999997,1638325200.0
1638348300,1771.89,1638433500.0
1638349500,1786.2499999999995,1638354600.0
1638351900,1787.8999999999996,1638359100.0
1638353400,1777.5499999999997,1638389400.0
1638358200,1789.8799999999999,1638365400.0
1638359700,1781.84,1638377100.0
1638360600,1789.3999999999994,1638365400.0
1638372300,1794.1899999999998,1639666500.0
1638374100,1778.9800000000002,1638389100.0
1638375600,1780.9100000000003,1638384000.0
1638378900,1781.3900000000003,1638382500.0
1638379800,1780.04,1638385800.0
1638396000,1776.1100000000001,1638418500.0
1638400500,1778.7099999999998,1638417600.0
1638401700,1784.83,1638561600.0
1638402900,1778.03,1638418200.0
1638405300,1785.5900000000004,1638561900.0
1638405900,1778.14,1638418200.0
1638407100,1784.5699999999997,1638561600.0
1638408900,1782.9100000000008,1638556200.0
1638412800,1777.6599999999999,1638418200.0
1638414300,1782.6499999999999,1638556200.0
1638415500,1776.4500000000005,1638418500.0
1638444900,1787.3100000000004,1638895800.0
1638455400,1770.2699999999995,1638455700.0
1638471900,1769.5399999999997,1638486000.0
1638474000,1757.9099999999996,1639594800.0
1638475200,1768.8400000000001,1638478200.0
1638477300,1770.6599999999994,1638492300.0
1638477900,1770.78,1638492300.0
1638516300,1767.9699999999998,1638519000.0
1638529800,1775.1299999999994,1638538200.0
1638537600,1777.8,1638538200.0
1638540600,1779.9400000000003,1638550800.0
1638541500,1776.33,1638547500.0
1638543900,1784.1499999999996,1638556500.0
1638545100,1760.4599999999998,1639594800.0
1638549600,1786.0799999999997,1638562200.0
1638798900,1782.38,1638809100.0
1638810600,1778.5099999999993,1638814200.0
1638815700,1781.3600000000004,1638834000.0
1638817200,1781.9999999999998,1638856800.0
1638818100,1777.6200000000001,1638819900.0
1638820500,1781.4199999999996,1638834000.0
1638821700,1774.2999999999997,1638884100.0
1638832800,1785.0600000000004,1638894300.0
1638840600,1776.4199999999996,1638851400.0
1638842100,1776.3299999999997,1638883800.0
1638842700,1781.8099999999997,1638856800.0
1638847800,1776.9899999999998,1638849600.0
1638856800,1783.2400000000002,1638860400.0
1638871800,1776.9299999999996,1638883800.0
1638878400,1784.4700000000003,1638878400.0
1638881700,1784.77,1638894300.0
1638882300,1789.5600000000002,1638930000.0
1638883800,1774.13,1638884100.0
1638887400,1788.44,1638929100.0
1638888300,1772.6699999999998,1639116900.0
1638890400,1790.5700000000002,1638942300.0
1638891900,1778.3800000000003,1639051500.0
1638893100,1788.8200000000004,1638929100.0
1638894000,1784.54,1638894300.0
1638910500,1779.6499999999996,1638974400.0
1638913200,1780.8699999999997,1638972300.0
1638913800,1787.0399999999995,1638927900.0
1638925800,1787.3599999999994,1638928200.0
1638927600,1791.1199999999994,1638943500.0
1638945600,1783.9399999999994,1638963900.0
1638948300,1793.7500000000002,1639666500.0
1638951300,1783.5600000000002,1638963900.0
1638953700,1789.5600000000006,1638955800.0
1638954900,1784.4900000000005,1638963900.0
1638955800,1790.5499999999997,1638959400.0
1638956400,1783.5699999999997,1638963900.0
1638960900,1804.24,1639708800.0
1638965100,1765.2700000000007,1639578600.0
1638983700,1786.8600000000004,1639027200.0
1638984900,1780.11,1639050300.0
1638985800,1779.5100000000004,1639050600.0
1638987300,1788.8799999999999,1639144800.0
1638998100,1781.8200000000002,1638999900.0
1639015500,1786.4000000000003,1639027200.0
1639017600,1779.59,1639050600.0
1639020600,1776.0400000000004,1639052700.0
1639021800,1781.0099999999995,1639050300.0
1639024200,1792.3200000000004,1639665600.0
1639038300,1782.9199999999998,1639039500.0
1639060200,1777.7799999999995,1639060500.0
1639066200,1784.8400000000006,1639144800.0
1639067100,1773.9100000000005,1639073700.0
1639067700,1781.1399999999996,1639143000.0
1639068300,1771.2899999999997,1639117800.0
1639070700,1781.5000000000002,1639143000.0
1639072200,1784.8799999999994,1639144800.0
1639074600,1768.6499999999999,1639490400.0
1639075800,1778.7600000000004,1639100400.0
1639078500,1773.0700000000006,1639116900.0
1639083600,1773.1999999999998,1639116900.0
1639091400,1779.08,1639101900.0
1639092300,1772.6200000000003,1639117200.0
1639096500,1784.78,1639144800.0
1639115700,1769.9999999999993,1639130400.0
1639137600,1768.9300000000005,1639490400.0
1639139100,1774.0299999999997,1639141500.0
1639140000,1767.5700000000002,1639490400.0
1639140600,1774.5899999999997,1639141800.0
1639159800,1778.7600000000004,1639488600.0
1639161000,1781.0900000000004,1639167300.0
1639162200,1787.0399999999995,1639394100.0
1639164600,1783.1200000000001,1639173000.0
1639165500,1778.46,1639488600.0
1639396800,1794.52,1639666500.0
1639404300,1787.4299999999996,1639405500.0
1639410600,1784.0199999999993,1639468800.0
1639411800,1788.6600000000003,1639412100.0
1639413600,1792.18,1639665600.0
1639416600,1793.9,1639666500.0
1639422300,1783.7000000000005,1639468800.0
