start,end,high_risk,low_risk,high_reward,low_reward,direction
1732856700,1732856760.0,2659.79,2659.66,2659.66,2659.2699999999995,Short
1732857060,1732861080.0,2660.89,2660.78,2661.219999999999,2660.89,Long
1732861200,1732861230.0,2663.68,2662.24,2668.0,2663.68,Long
1732861500,1732861530.0,2662.42,2661.62,2661.62,2659.2199999999993,Short
1732861980,1732863360.0,2664.4,2663.67,2666.59,2664.4,Long
1732863600,1732863720.0,2665.28,2664.86,2666.5400000000004,2665.28,Long
1732863900,1732867200.0,2664.31,2663.95,2663.95,2662.8699999999994,Short
1732867320,1732867350.0,2662.11,2660.86,2665.86,2662.11,Long
1732867500,1732870980.0,2661.84,2661.54,2661.54,2660.6399999999994,Short
1732871220,1732871880.0,2658.72,2657.14,2663.4599999999996,2658.72,Long
1732872120,1732876680.0,2660.51,2658.51,2666.51,2660.51,Long
1732876920,1732876950.0,2662.71,2662.13,2664.45,2662.71,Long
1732877220,1732878540.0,2662.11,2661.95,2661.95,2661.469999999999,Short
1732878840,1732879140.0,2663.98,2661.9,2670.22,2663.98,Long
1732879860,1732879890.0,2662.13,2661.77,2663.2100000000005,2662.13,Long
1732880040,1732880520.0,2662.95,2661.74,2666.58,2662.95,Long
1732880640,1732880670.0,2662.07,2661.96,2662.4000000000005,2662.07,Long
1732880940,1732882980.0,2663.19,2662.63,2662.63,2660.9500000000003,Short
1732883340,1732883400.0,2663.6,2663.02,2663.02,2661.28,Short
1732883760,1732884480.0,2662.24,2661.66,2661.66,2659.92,Short
1732884660,1732885200.0,2659.87,2659.45,2659.45,2658.1899999999996,Short
1732885260,1732885320.0,2659.87,2658.63,2663.5899999999992,2659.87,Long
1732885440,1732885470.0,2660.82,2658.98,2658.98,2653.4599999999996,Short
1732885560,1732885590.0,2661.03,2660.84,2660.84,2660.27,Short
1732885680,1732885800.0,2661.6,2660.48,2660.48,2657.1200000000003,Short
1732886160,1732886700.0,2660.3,2659.0,2659.0,2655.0999999999995,Short
1732887060,1732887300.0,2662.51,2661.67,2665.0300000000007,2662.51,Long
1732887600,1732887660.0,2658.88,2658.28,2658.28,2656.4800000000005,Short
1732888260,1732888920.0,2658.6,2658.04,2658.04,2656.36,Short
1732889160,1732889460.0,2660.82,2658.81,2666.850000000001,2660.82,Long
1732889760,1732890840.0,2660.3,2659.21,2659.21,2655.9399999999996,Short
1732891380,1732894440.0,2658.97,2656.81,2656.81,2650.3300000000004,Short
1732894500,1732894560.0,2654.29,2652.37,2660.05,2654.29,Long
1732894800,1732894980.0,2655.3,2653.93,2653.93,2649.819999999999,Short
1732895400,1732899000.0,2654.94,2654.51,2656.2299999999996,2654.94,Long
1732899240,1732900140.0,2661.14,2660.37,2663.45,2661.14,Long
1732900320,1732901940.0,2659.39,2657.7,2657.7,2652.6299999999997,Short
1732902120,1732902780.0,2661.02,2660.57,2660.57,2659.2200000000007,Short
1732902840,1732903560.0,2659.92,2659.11,2662.35,2659.92,Long
1732903920,1732904760.0,2659.31,2658.9,2660.5399999999995,2659.31,Long
1732905360,1733098920.0,2653.69,2652.26,2652.26,2647.9700000000007,Short
1733099340,1733103840.0,2644.42,2643.78,2643.78,2641.8600000000006,Short
