time,open,high,low,close,color,moving_average,color_moving_average
1732591620,2628.26,2628.67,2628.26,2628.67,,2626.836999999999,#ef5350
1732591680,2628.37,2628.37,2627.57,2627.57,,2626.807399999999,#ef5350
1732591740,2627.96,2627.96,2627.57,2627.57,,2626.7987999999987,#ef5350
1732591800,2627.92,2627.93,2627.84,2627.84,,2626.7967999999987,#ef5350
1732591860,2627.75,2628.13,2627.75,2627.84,#450C69,2626.8509999999987,#26a69a
1732591920,2628.29,2628.6,2627.1,2628.6,#450C69,2626.8977999999984,#26a69a
1732591980,2628.76,2628.76,2627.8,2628.53,#450C69,2626.9515999999985,#26a69a
1732592040,2628.29,2628.29,2628.08,2628.08,,2626.9985999999985,#26a69a
1732592100,2628.53,2628.8,2628.53,2628.8,,2627.0359999999987,#26a69a
1732592160,2629.37,2629.67,2628.8,2628.8,,2627.0901999999983,#26a69a
1732592220,2629.58,2629.58,2629.55,2629.55,,2627.165999999999,#26a69a
1732592280,2629.53,2630.03,2629.53,2630.03,,2627.2585999999988,#26a69a
1732592340,2629.87,2630.33,2629.87,2630.33,,2627.3329999999987,#26a69a
1732592400,2630.03,2630.13,2630.03,2630.13,,2627.4093999999986,#26a69a
1732592460,2630.0,2630.42,2630.0,2630.42,,2627.4833999999987,#26a69a
1732592520,2630.13,2630.72,2630.13,2630.5,,2627.5533999999984,#26a69a
1732592580,2630.55,2630.55,2630.17,2630.47,#450C69,2627.6283999999987,#26a69a
1732592640,2630.61,2630.61,2630.56,2630.56,,2627.7041999999988,#26a69a
1732592700,2630.47,2630.47,2629.95,2629.97,,2627.8051999999984,#26a69a
1732592760,2630.42,2630.8,2630.42,2630.8,,2627.910399999999,#26a69a
1732592820,2629.97,2630.93,2629.97,2630.93,,2628.002999999999,#26a69a
1732592880,2630.64,2630.68,2630.48,2630.48,,2628.1017999999985,#26a69a
1732592940,2630.35,2630.36,2630.35,2630.36,,2628.2039999999993,#26a69a
1732593000,2630.48,2630.64,2630.27,2630.64,#450C69,2628.2961999999993,#26a69a
1732593060,2630.02,2630.02,2629.84,2629.84,,2628.410999999999,#26a69a
1732593120,2630.28,2630.28,2629.47,2629.47,,2628.516599999999,#26a69a
1732593180,2629.8,2629.8,2629.55,2629.8,#450C69,2628.6049999999996,#26a69a
1732593240,2629.86,2629.86,2629.34,2629.34,,2628.7077999999997,#26a69a
1732593300,2629.8,2630.59,2629.4,2630.59,,2628.7886,#26a69a
1732593360,2629.78,2629.91,2629.78,2629.91,,2628.8614,#26a69a
1732593420,2629.41,2630.26,2629.41,2630.02,,2628.9028,#26a69a
1732593480,2630.25,2630.31,2629.76,2630.31,#450C69,2628.9536,#26a69a
1732593540,2630.23,2630.28,2630.23,2630.28,,2629.0036,#26a69a
1732593600,2630.31,2630.5,2630.31,2630.5,,2629.0627999999997,#26a69a
1732593660,2630.72,2630.77,2629.6,2630.77,#450C69,2629.1263999999996,#26a69a
1732593720,2630.5,2631.1,2630.5,2631.04,,2629.1831999999995,#26a69a
1732593780,2631.26,2631.26,2631.07,2631.26,#450C69,2629.2393999999995,#26a69a
1732593840,2630.73,2630.73,2630.68,2630.68,,2629.2937999999995,#26a69a
1732593900,2631.26,2631.26,2630.58,2630.58,,2629.3443999999995,#26a69a
1732593960,2630.4,2630.4,2630.29,2630.29,,2629.4117999999994,#26a69a
1732594020,2630.58,2630.58,2630.14,2630.14,,2629.4823999999994,#26a69a
1732594080,2630.14,2630.59,2630.14,2630.59,,2629.5417999999995,#26a69a
1732594140,2630.46,2630.46,2630.36,2630.36,,2629.595999999999,#26a69a
1732594200,2630.15,2630.15,2629.93,2629.93,,2629.6509999999994,#26a69a
1732594260,2630.26,2630.26,2629.66,2629.66,,2629.697199999999,#26a69a
1732594320,2629.93,2629.93,2629.47,2629.6,,2629.727999999999,#26a69a
1732594380,2629.45,2629.47,2629.18,2629.18,,2629.736799999999,#26a69a
1732594440,2629.07,2629.07,2628.72,2628.72,,2629.7457999999997,#26a69a
1732594500,2629.18,2629.18,2628.59,2628.59,,2629.7477999999996,#26a69a
1732594560,2628.72,2628.72,2628.47,2628.47,,2629.7475999999997,#ef5350
1732594620,2628.59,2628.79,2628.59,2628.66,#450C69,2629.7663999999995,#26a69a
1732594680,2628.73,2628.77,2628.51,2628.51,,2629.7837999999992,#26a69a
1732594740,2628.45,2628.45,2628.44,2628.44,,2629.8107999999997,#26a69a
1732594800,2628.51,2629.19,2628.51,2629.19,,2629.8369999999995,#26a69a
1732594860,2629.3,2629.3,2629.15,2629.15,,2629.836599999999,#ef5350
1732594920,2628.7,2628.94,2628.58,2628.58,#450C69,2629.8377999999993,#26a69a
1732594980,2628.65,2628.94,2628.59,2628.59,#450C69,2629.852799999999,#26a69a
1732595040,2629.11,2629.11,2628.83,2628.83,,2629.855199999999,#26a69a
1732595100,2628.59,2628.92,2628.59,2628.92,,2629.8517999999985,#ef5350
1732595160,2628.94,2628.94,2628.63,2628.63,,2629.830599999999,#ef5350
1732595220,2628.92,2628.92,2628.47,2628.49,,2629.792599999999,#ef5350
1732595280,2628.3,2628.47,2628.13,2628.13,,2629.746799999999,#ef5350
1732595340,2628.14,2628.14,2628.04,2628.04,,2629.701999999999,#ef5350
1732595400,2628.09,2628.14,2627.89,2627.89,,2629.6393999999987,#ef5350
1732595460,2627.64,2627.64,2627.29,2627.29,,2629.5779999999986,#ef5350
1732595520,2627.89,2627.89,2627.21,2627.43,,2629.5067999999987,#ef5350
1732595580,2627.04,2627.21,2625.9,2626.91,#450C69,2629.4221999999986,#ef5350
1732595640,2626.38,2626.38,2626.33,2626.33,,2629.357999999999,#ef5350
1732595700,2626.35,2626.76,2626.35,2626.76,,2629.278199999999,#ef5350
1732595760,2626.72,2626.81,2626.72,2626.81,,2629.211999999999,#ef5350
1732595820,2626.36,2627.62,2626.36,2627.62,,2629.1621999999993,#ef5350
1732595880,2627.84,2627.99,2626.66,2627.99,#450C69,2629.1099999999988,#ef5350
1732595940,2627.66,2627.75,2627.66,2627.75,,2629.0523999999987,#ef5350
1732596000,2627.88,2627.88,2627.66,2627.76,,2628.997399999999,#ef5350
1732596060,2627.66,2627.66,2627.09,2627.09,,2628.9495999999986,#ef5350
1732596120,2627.76,2627.76,2626.81,2627.08,,2628.885799999998,#ef5350
1732596180,2626.81,2626.83,2626.61,2626.61,,2628.842599999998,#ef5350
1732596240,2626.99,2627.18,2626.99,2627.18,,2628.7577999999985,#ef5350
1732596300,2626.75,2626.93,2626.35,2626.35,,2628.6789999999983,#ef5350
1732596360,2626.47,2626.47,2625.97,2625.97,,2628.581799999998,#ef5350
1732596420,2626.47,2626.47,2625.16,2625.16,,2628.484199999998,#ef5350
1732596480,2625.32,2625.43,2625.32,2625.43,,2628.393199999998,#ef5350
1732596540,2625.76,2625.76,2625.73,2625.73,,2628.303599999998,#ef5350
1732596600,2626.5,2626.5,2625.79,2626.02,,2628.2149999999983,#ef5350
1732596660,2626.29,2626.34,2626.29,2626.34,,2628.121399999998,#ef5350
1732596720,2626.02,2626.36,2626.02,2626.36,,2628.0171999999984,#ef5350
1732596780,2626.25,2626.29,2626.05,2626.05,,2627.933799999999,#ef5350
1732596840,2626.16,2626.51,2626.16,2626.51,,2627.836999999999,#ef5350
1732596900,2626.04,2626.16,2625.74,2625.74,,2627.748799999999,#ef5350
1732596960,2625.72,2625.88,2625.72,2625.88,,2627.6625999999987,#ef5350
1732597020,2625.74,2626.02,2625.74,2625.83,#450C69,2627.580199999999,#ef5350
1732597080,2626.12,2626.47,2626.02,2626.47,,2627.499799999999,#ef5350
1732597140,2626.48,2626.48,2626.34,2626.34,,2627.418399999999,#ef5350
